Name,WHO_Region,Cases_cumulative_total,Cases_newly_reported_in_last_7_days,Cases_newly_reported_in_last_24_hours,Deaths_cumulative_total,Deaths_newly_reported_in_last_7_days,Deaths_newly_reported_in_last_24_hours
Belarus,Europe,994052.0,0.0,0.0,7118.0,0.0,0.0
China,Western Pacific,99381761.0,0.0,0.0,122398.0,0.0,0.0
French Guiana,Unknown,98041.0,0.0,0.0,413.0,0.0,0.0
Latvia,Europe,977783.0,0.0,0.0,7658.0,2.0,2.0
Saint Vincent and the Grenadines,Americas,9674.0,0.0,0.0,124.0,0.0,0.0
Guinea-Bissau,Africa,9614.0,0.0,0.0,177.0,0.0,0.0
Niger,Africa,9573.0,0.0,0.0,315.0,0.0,0.0
Comoros,Africa,9109.0,0.0,0.0,160.0,0.0,0.0
Antigua and Barbuda,Americas,9106.0,0.0,0.0,146.0,0.0,0.0
Senegal,Africa,89426.0,0.0,0.0,1972.0,0.0,0.0
Malawi,Africa,89168.0,0.0,0.0,2686.0,0.0,0.0
Kyrgyzstan,Europe,88953.0,0.0,0.0,1024.0,0.0,0.0
C�te d'Ivoire,Africa,88524.0,0.0,0.0,835.0,0.0,0.0
Netherlands (Kingdom of the),Europe,8654060.0,363.0,363.0,22986.0,0.0,0.0
Saudi Arabia,Eastern Mediterranean,841469.0,0.0,0.0,9646.0,0.0,0.0
Azerbaijan,Europe,836510.0,0.0,0.0,10353.0,0.0,0.0
American Samoa,Western Pacific,8359.0,0.0,0.0,34.0,0.0,0.0
Suriname,Americas,82516.0,0.0,0.0,1406.0,0.0,0.0
New Caledonia,Western Pacific,80203.0,0.0,0.0,314.0,0.0,0.0
Tokelau,Western Pacific,80.0,0.0,0.0,0.0,0.0,0.0
Sierra Leone,Africa,7985.0,0.0,0.0,125.0,0.0,0.0
French Polynesia,Western Pacific,79451.0,0.0,0.0,650.0,0.0,0.0
Liberia,Africa,7932.0,0.0,0.0,294.0,0.0,0.0
Chad,Africa,7702.0,0.0,0.0,194.0,0.0,0.0
British Virgin Islands,Americas,7661.0,0.0,0.0,64.0,0.0,0.0
Mexico,Americas,7629419.0,19.0,19.0,335067.0,0.0,0.0
